keyword_count,keyword_tfidf,sentence_count,readability_scores,avg_word_length,qtype_Descriptive,qtype_Other
1,-0.693147181,1,29.06666667,6.5,0,1
0,0,1,31.6,0,0,1
2,-0.693147181,1,34,6.333333333,1,0
0,0,1,21.6,0,0,1
1,-0.693147181,1,29.06666667,6.5,0,1
0,0,1,31.6,0,0,1
2,-0.693147181,1,34,6.333333333,1,0
0,0,1,21.6,0,0,1
1,-0.693147181,1,29.06666667,6.5,0,1
0,0,1,31.6,0,0,1
2,-0.693147181,1,34,6.333333333,1,0
0,0,1,21.6,0,0,1
1,-0.693147181,1,22.4,5,0,1
1,-0.693147181,1,22.4,5,0,1
1,-0.693147181,1,22.4,5,0,1
1,-0.693147181,1,22.4,5,0,1
